Date,Week,Section,Secs,Group,Student_Initials,Plant_Species,PlantID,Treatment ,Replicate,Survival,Max_Leaf_Length,Stem_Number,Max_Height,Plant_Stress,Humidity,Light,Air_Temp,Soil_Moisture
8.26.2019,1,1,1_2,1,all,Sorghastrum nutans,Control-1-1A,Control,1A,A,120,5,175,2,50,4920,25.3,0
8.26.2019,1,1,1_2,1,all,Sorghastrum nutans,Control-1-1B,Control,1B,A,215,6,205,1,50,4920,25.3,0
8.26.2019,1,1,1_2,1,all,Sorghastrum nutans,Heatwave-1-1A,Heatwave,1A,A,282,6,279,1,50,4920,25.3,0
8.26.2019,1,1,1_2,1,all,Sorghastrum nutans,Heatwave-1-1B,Heatwave,1B,A,219,8,222,1,50,4920,25.3,0
8.26.2019,1,1,1_2,2,all,Sorghastrum nutans,Control-2-1A,Control,1A,A,253,7,259,1,50,4920,25.3,0
8.26.2019,1,1,1_2,2,all,Sorghastrum nutans,Control-2-1B,Control,1B,A,182,7,175,1,50,4920,25.3,0
8.26.2019,1,1,1_2,2,all,Sorghastrum nutans,Heatwave-2-1A,Heatwave,1A,A,226,10,216,1,50,4920,25.3,0
8.26.2019,1,1,1_2,2,all,Sorghastrum nutans,Heatwave-2-1B,Heatwave,1B,A,247,10,247,1,50,4920,25.3,0
8.26.2019,1,1,1_2,3,all,Sorghastrum nutans,Control-3-1A,Control,1A,A,210,4,210,1,50,2900,25.3,0.9
8.26.2019,1,1,1_2,3,all,Sorghastrum nutans,Control-3-1B,Control,1B,A,225,7,225,1,50,2900,25.3,0.9
8.26.2019,1,1,1_2,3,all,Sorghastrum nutans,Heatwave-3-1A,Heatwave,1A,A,251,7,250,1,50,2900,25.3,0.9
8.26.2019,1,1,1_2,3,all,Sorghastrum nutans,Heatwave-3-1B,Heatwave,1B,A,212,7,213,1,50,2900,25.3,0.9
8.26.2019,1,1,1_2,4,all,Sorghastrum nutans,Control-4-1A,Control,1A,A,230,7,230,1,50,2900,25.3,0
8.26.2019,1,1,1_2,4,all,Sorghastrum nutans,Control-4-1B,Control,1B,A,240,9,240,1,50,2900,25.3,0
8.26.2019,1,1,1_2,4,all,Sorghastrum nutans,Heatwave-4-1A,Heatwave,1A,A,261,8,265,1,50,2900,25.3,0
8.26.2019,1,1,1_2,4,all,Sorghastrum nutans,Heatwave-4-1B,Heatwave,1B,A,220,5,220,1,50,2900,25.3,0
8.26.2019,1,1,1_2,5,all,Sorghastrum nutans,Control-5-1A,Control,1A,A,235,12,230,1,50,2670,25.3,3.7
8.26.2019,1,1,1_2,5,all,Sorghastrum nutans,Control-5-1B,Control,1B,A,260,7,260,1,50,2670,25.3,3.7
8.26.2019,1,1,1_2,5,all,Sorghastrum nutans,Heatwave-5-1A,Heatwave,1A,A,248,6,248,1,50,2670,25.3,3.7
8.26.2019,1,1,1_2,5,all,Sorghastrum nutans,Heatwave-5-1B,Heatwave,1B,A,240,9,240,1,50,2670,25.3,3.7
8.26.2019,1,1,1_2,6,all,Sorghastrum nutans,Control-6-1A,Control,1A,A,256,7,256,1,50,2360,25.3,3.3
8.26.2019,1,1,1_2,6,all,Sorghastrum nutans,Control-6-1B,Control,1B,A,280,9,280,1,50,2360,25.3,3.3
8.26.2019,1,1,1_2,6,all,Sorghastrum nutans,Heatwave-6-1A,Heatwave,1A,A,210,8,205,1,50,2360,25.3,3.3
8.26.2019,1,1,1_2,6,all,Sorghastrum nutans,Heatwave-6-1B,Heatwave,1B,A,252,7,252,1,50,2360,25.3,3.3
8.26.2019,1,2,1_2,1,all,Sorghastrum nutans,Control-1-2A,Control,2A,A,265,6,254,1,84,4740,24,0.9
8.26.2019,1,2,1_2,1,all,Sorghastrum nutans,Control-1-2B,Control,2B,A,225,4,225,1,84,4740,24,0.9
8.26.2019,1,2,1_2,1,all,Sorghastrum nutans,Heatwave-1-2A,Heatwave,2A,A,257,4,253,1,84,4740,24,0.9
8.26.2019,1,2,1_2,1,all,Sorghastrum nutans,Heatwave-1-2B,Heatwave,2B,A,200,4,205,1,84,4740,24,0.9
8.26.2019,1,2,1_2,2,all,Sorghastrum nutans,Control-2-2A,Control,2A,A,350,8,230,1,84,5830,24,0.2
8.26.2019,1,2,1_2,2,all,Sorghastrum nutans,Control-2-2B,Control,2B,A,235,9,230,1,84,5830,24,0.2
8.26.2019,1,2,1_2,2,all,Sorghastrum nutans,Heatwave-2-2A,Heatwave,2A,A,243,4,239,1,84,5830,24,0.2
8.26.2019,1,2,1_2,2,all,Sorghastrum nutans,Heatwave-2-2B,Heatwave,2B,A,233,10,225,1,84,5830,24,0.2
8.26.2019,1,2,1_2,3,all,Sorghastrum nutans,Control-3-2A,Control,2A,A,211,4,211,1,84,4300,24,1.1
8.26.2019,1,2,1_2,3,all,Sorghastrum nutans,Control-3-2B,Control,2B,A,250,5,228,1,84,4300,24,1.1
8.26.2019,1,2,1_2,3,all,Sorghastrum nutans,Heatwave-3-2A,Heatwave,2A,A,227,8,231,1,84,4300,24,1.1
8.26.2019,1,2,1_2,3,all,Sorghastrum nutans,Heatwave-3-2B,Heatwave,2B,A,240,12,240,2,84,4300,24,1.1
8.26.2019,1,2,1_2,4,all,Sorghastrum nutans,Control-4-2A,Control,2A,A,257,4,257,1,84,4250,24,1.7
8.26.2019,1,2,1_2,4,all,Sorghastrum nutans,Control-4-2B,Control,2B,A,232,3,229,1,84,4250,24,1.7
8.26.2019,1,2,1_2,4,all,Sorghastrum nutans,Heatwave-4-2A,Heatwave,2A,A,233,4,231,1,84,4250,24,1.7
8.26.2019,1,2,1_2,4,all,Sorghastrum nutans,Heatwave-4-2B,Heatwave,2B,A,234,5,224,1,84,4250,24,1.7
8.26.2019,1,2,1_2,5,all,Sorghastrum nutans,Control-5-2A,Control,2A,A,250,10,250,1,84,4320,24,0.3
8.26.2019,1,2,1_2,5,all,Sorghastrum nutans,Control-5-2B,Control,2B,A,205,3,195,1,84,4320,24,0.3
8.26.2019,1,2,1_2,5,all,Sorghastrum nutans,Heatwave-5-2A,Heatwave,2A,A,249,7,249,2,84,4320,24,0.3
8.26.2019,1,2,1_2,5,all,Sorghastrum nutans,Heatwave-5-2B,Heatwave,2B,A,216,10,216,1,84,4320,24,0.3
8.26.2019,1,2,1_2,6,all,Sorghastrum nutans,Control-6-2A,Control,2A,A,233,5,231,1,84,4760,24,1.2
8.26.2019,1,2,1_2,6,all,Sorghastrum nutans,Control-6-2B,Control,2B,A,195,8,194,1,84,4760,24,1.2
8.26.2019,1,2,1_2,6,all,Sorghastrum nutans,Heatwave-6-2A,Heatwave,2A,A,248,7,246,1,84,4760,24,1.2
8.26.2019,1,2,1_2,6,all,Sorghastrum nutans,Heatwave-6-2B,Heatwave,2B,A,229,8,226,1,84,4760,24,1.2
8.27.2019,1,3,3_4,1,all,Sorghastrum nutans,Control-1-3A,Control,3A,A,245,15,235,1,51,1509,23.4,0.7
8.27.2019,1,3,3_4,1,all,Sorghastrum nutans,Control-1-3B,Control,3B,A,270,14,264,1,51,1509,23.4,0.7
8.27.2019,1,3,3_4,1,all,Sorghastrum nutans,Heatwave-1-3A,Heatwave,3A,A,223,17,215,1,51,1509,23.4,0.7
8.27.2019,1,3,3_4,1,all,Sorghastrum nutans,Heatwave-1-3B,Heatwave,3B,A,230,7,234,1,51,1509,23.4,0.7
8.27.2019,1,3,3_4,2,all,Sorghastrum nutans,Control-2-3A,Control,3A,A,215,8,235,1,51,1526,23.4,0.2
8.27.2019,1,3,3_4,2,all,Sorghastrum nutans,Control-2-3B,Control,3B,A,240,7,245,1,51,1526,23.4,0.2
8.27.2019,1,3,3_4,2,all,Sorghastrum nutans,Heatwave-2-3A,Heatwave,3A,A,215,9,212,1,51,1526,23.4,0.2
8.27.2019,1,3,3_4,2,all,Sorghastrum nutans,Heatwave-2-3B,Heatwave,3B,A,237,8,232,1,51,1526,23.4,0.2
8.27.2019,1,3,3_4,3,all,Sorghastrum nutans,Control-3-3A,Control,3A,A,210,5,210,1,52,1826,23.4,1
8.27.2019,1,3,3_4,3,all,Sorghastrum nutans,Control-3-3B,Control,3B,A,202,4,202,1,52,1826,23.4,1
8.27.2019,1,3,3_4,3,all,Sorghastrum nutans,Heatwave-3-3A,Heatwave,3A,A,200,4,200,1,52,1826,23.4,1
8.27.2019,1,3,3_4,3,all,Sorghastrum nutans,Heatwave-3-3B,Heatwave,3B,A,255,6,255,1,52,1826,23.4,1
8.27.2019,1,3,3_4,4,all,Sorghastrum nutans,Control-4-3A,Control,3A,A,200,3,190,1,52,1443,23.4,0
8.27.2019,1,3,3_4,4,all,Sorghastrum nutans,Control-4-3B,Control,3B,A,200,6,200,1,52,1443,23.4,0
8.27.2019,1,3,3_4,4,all,Sorghastrum nutans,Heatwave-4-3A,Heatwave,3A,A,235,7,235,1,52,1443,23.4,0
8.27.2019,1,3,3_4,4,all,Sorghastrum nutans,Heatwave-4-3B,Heatwave,3B,A,250,7,250,1,52,1443,23.4,0
8.27.2019,1,3,3_4,5,all,Sorghastrum nutans,Control-5-3A,Control,3A,A,215,10,210,1,60,1605,23.8,0.2
8.27.2019,1,3,3_4,5,all,Sorghastrum nutans,Control-5-3B,Control,3B,A,240,4,245,1,60,1605,23.8,0.2
8.27.2019,1,3,3_4,5,all,Sorghastrum nutans,Heatwave-5-3A,Heatwave,3A,A,210,5,210,1,60,1605,23.8,0.2
8.27.2019,1,3,3_4,5,all,Sorghastrum nutans,Heatwave-5-3B,Heatwave,3B,A,196,10,184,1,60,1605,23.8,0.2
8.27.2019,1,3,3_4,6,all,Sorghastrum nutans,Control-6-3A,Control,3A,A,210,8,210,1,60,1470,23.8,1.3
8.27.2019,1,3,3_4,6,all,Sorghastrum nutans,Control-6-3B,Control,3B,A,240,4,240,1,60,1470,23.8,1.3
8.27.2019,1,3,3_4,6,all,Sorghastrum nutans,Heatwave-6-3A,Heatwave,3A,A,220,4,220,1,60,1470,23.8,1.3
8.27.2019,1,3,3_4,6,all,Sorghastrum nutans,Heatwave-6-3B,Heatwave,3B,A,224,5,226,1,60,1470,23.8,1.3
8.27.2019,1,4,3_4,1,all,Sorghastrum nutans,Control-1-4A,Control,4A,A,176,6,176,1,52,2700,25.8,0.9
8.27.2019,1,4,3_4,1,all,Sorghastrum nutans,Control-1-4B,Control,4B,A,234,7,228,1,52,2700,25.8,0.9
8.27.2019,1,4,3_4,1,all,Sorghastrum nutans,Heatwave-1-4A,Heatwave,4A,A,240,18,235,1,52,2700,25.8,0.9
8.27.2019,1,4,3_4,1,all,Sorghastrum nutans,Heatwave-1-4B,Heatwave,4B,A,224,6,224,1,52,2700,25.8,0.9
8.27.2019,1,4,3_4,2,all,Sorghastrum nutans,Control-2-4A,Control,4A,A,243,6,194,1,56,3110,25,0
8.27.2019,1,4,3_4,2,all,Sorghastrum nutans,Control-2-4B,Control,4B,A,240,13,230,1,56,3110,25,0
8.27.2019,1,4,3_4,2,all,Sorghastrum nutans,Heatwave-2-4A,Heatwave,4A,A,190,11,250,1,56,3110,25,0
8.27.2019,1,4,3_4,2,all,Sorghastrum nutans,Heatwave-2-4B,Heatwave,4B,A,255,3,250,2,56,3110,25,0
8.27.2019,1,4,3_4,3,all,Sorghastrum nutans,Control-3-4A,Control,4A,A,230,9,220,1,56,2790,25,0.4
8.27.2019,1,4,3_4,3,all,Sorghastrum nutans,Control-3-4B,Control,4B,A,200,11,205,1,56,2790,25,0.4
8.27.2019,1,4,3_4,3,all,Sorghastrum nutans,Heatwave-3-4A,Heatwave,4A,A,210,6,210,1,56,2790,25,0.4
8.27.2019,1,4,3_4,3,all,Sorghastrum nutans,Heatwave-3-4B,Heatwave,4B,A,240,11,235,1,56,2790,25,0.4
8.27.2019,1,4,3_4,4,all,Sorghastrum nutans,Control-4-4A,Control,4A,A,285,17,210,1,56,2650,25,2
8.27.2019,1,4,3_4,4,all,Sorghastrum nutans,Control-4-4B,Control,4B,A,230,11,227,1,56,2650,25,2
8.27.2019,1,4,3_4,4,all,Sorghastrum nutans,Heatwave-4-4A,Heatwave,4A,A,265,11,260,1,56,2650,25,2
8.27.2019,1,4,3_4,4,all,Sorghastrum nutans,Heatwave-4-4B,Heatwave,4B,A,250,11,205,1,56,2650,25,2
8.27.2019,1,4,3_4,5,all,Sorghastrum nutans,Control-5-4A,Control,4A,A,240,8,240,1,56,1930,25,0.5
8.27.2019,1,4,3_4,5,all,Sorghastrum nutans,Control-5-4B,Control,4B,A,250,11,260,1,56,1930,25,0.5
8.27.2019,1,4,3_4,5,all,Sorghastrum nutans,Heatwave-5-4A,Heatwave,4A,A,250,8,250,1,56,1930,25,0.5
8.27.2019,1,4,3_4,5,all,Sorghastrum nutans,Heatwave-5-4B,Heatwave,4B,A,230,9,220,1,56,1930,25,0.5
8.27.2019,1,4,3_4,6,all,Sorghastrum nutans,Control-6-4A,Control,4A,A,234,7,232,1,56,1860,25,5.7
8.27.2019,1,4,3_4,6,all,Sorghastrum nutans,Control-6-4B,Control,4B,A,265,12,248,1,56,1860,25,5.7
8.27.2019,1,4,3_4,6,all,Sorghastrum nutans,Heatwave-6-4A,Heatwave,4A,A,251,5,250,1,56,1860,25,5.7
8.27.2019,1,4,3_4,6,all,Sorghastrum nutans,Heatwave-6-4B,Heatwave,4B,A,231,9,230,1,56,1860,25,5.7
8.28.2019,1,5,5_6,1,all,Sorghastrum nutans,Control-1-5A,Control,5A,A,245,9,245,1,60,3900,25,1
8.28.2019,1,5,5_6,1,all,Sorghastrum nutans,Control-1-5B,Control,5B,A,253,7,240,1,60,3900,25,1
8.28.2019,1,5,5_6,1,all,Sorghastrum nutans,Heatwave-1-5A,Heatwave,5A,A,185,9,175,1,60,3900,25,1
8.28.2019,1,5,5_6,1,all,Sorghastrum nutans,Heatwave-1-5B,Heatwave,5B,A,190,9,180,1,60,3900,25,1
8.28.2019,1,5,5_6,2,all,Sorghastrum nutans,Control-2-5A,Control,5A,A,245,6,245,1,62,2900,26,0.9
8.28.2019,1,5,5_6,2,all,Sorghastrum nutans,Control-2-5B,Control,5B,A,215,8,210,1,62,2900,26,0.9
8.28.2019,1,5,5_6,2,all,Sorghastrum nutans,Heatwave-2-5A,Heatwave,5A,A,270,5,265,1,62,2900,26,0.9
8.28.2019,1,5,5_6,2,all,Sorghastrum nutans,Heatwave-2-5B,Heatwave,5B,A,196,13,195,1,62,2900,26,0.9
8.28.2019,1,5,5_6,3,all,Sorghastrum nutans,Control-3-5A,Control,5A,A,220,9,223,1,60,2980,26,1.6
8.28.2019,1,5,5_6,3,all,Sorghastrum nutans,Control-3-5B,Control,5B,A,241,10,236,1,60,2980,26,1.6
8.28.2019,1,5,5_6,3,all,Sorghastrum nutans,Heatwave-3-5A,Heatwave,5A,A,280,9,270,1,60,2980,26,1.6
8.28.2019,1,5,5_6,3,all,Sorghastrum nutans,Heatwave-3-5B,Heatwave,5B,A,220,17,220,1,60,2980,26,1.6
8.28.2019,1,5,5_6,4,all,Sorghastrum nutans,Control-4-5A,Control,5A,A,221,10,210,1,60,2920,26,2.2
8.28.2019,1,5,5_6,4,all,Sorghastrum nutans,Control-4-5B,Control,5B,A,266,16,260,1,60,2920,26,2.2
8.28.2019,1,5,5_6,4,all,Sorghastrum nutans,Heatwave-4-5A,Heatwave,5A,A,155,17,155,1,60,2920,26,2.2
8.28.2019,1,5,5_6,4,all,Sorghastrum nutans,Heatwave-4-5B,Heatwave,5B,A,214,16,216,1,60,2920,26,2.2
8.28.2019,1,5,5_6,5,all,Sorghastrum nutans,Control-5-5A,Control,5A,A,215,7,210,1,60,2340,26,1.1
8.28.2019,1,5,5_6,5,all,Sorghastrum nutans,Control-5-5B,Control,5B,A,139,8,236,1,60,2340,26,1.1
8.28.2019,1,5,5_6,5,all,Sorghastrum nutans,Heatwave-5-5A,Heatwave,5A,A,225,6,223,1,60,2340,26,1.1
8.28.2019,1,5,5_6,5,all,Sorghastrum nutans,Heatwave-5-5B,Heatwave,5B,A,225,16,213,1,60,2340,26,1.1
8.28.2019,1,5,5_6,6,all,Sorghastrum nutans,Control-6-5A,Control,5A,A,215,5,195,1,60,2170,26,0.8
8.28.2019,1,5,5_6,6,all,Sorghastrum nutans,Control-6-5B,Control,5B,A,210,5,200,1,60,2170,26,0.8
8.28.2019,1,5,5_6,6,all,Sorghastrum nutans,Heatwave-6-5A,Heatwave,5A,A,215,9,210,1,60,2170,26,0.8
8.28.2019,1,5,5_6,6,all,Sorghastrum nutans,Heatwave-6-5B,Heatwave,5B,A,255,4,245,1,60,2170,26,0.8
8.28.2019,1,6,5_6,1,all,Sorghastrum nutans,Control-1-6A,Control,6A,A,240,8,240,1,55,1527,31,1.7
8.28.2019,1,6,5_6,1,all,Sorghastrum nutans,Control-1-6B,Control,6B,A,270,10,260,1,55,1527,31,1.7
8.28.2019,1,6,5_6,1,all,Sorghastrum nutans,Heatwave-1-6A,Heatwave,6A,A,110,12,115,1,55,1527,31,1.7
8.28.2019,1,6,5_6,1,all,Sorghastrum nutans,Heatwave-1-6B,Heatwave,6B,A,99,7,98,1,55,1527,31,1.7
8.28.2019,1,6,5_6,2,all,Sorghastrum nutans,Control-2-6A,Control,6A,A,270,11,270,1,57,1130,31,1.6
8.28.2019,1,6,5_6,2,all,Sorghastrum nutans,Control-2-6B,Control,6B,A,219,9,213,1,57,1130,31,1.6
8.28.2019,1,6,5_6,2,all,Sorghastrum nutans,Heatwave-2-6A,Heatwave,6A,A,225,8,250,1,57,1130,31,1.6
8.28.2019,1,6,5_6,2,all,Sorghastrum nutans,Heatwave-2-6B,Heatwave,6B,A,350,10,300,1,57,1130,31,1.6
8.28.2019,1,6,5_6,3,all,Sorghastrum nutans,Control-3-6A,Control,6A,A,250,12,245,1,75,4930,28,1.6
8.28.2019,1,6,5_6,3,all,Sorghastrum nutans,Control-3-6B,Control,6B,A,240,8,230,1,75,4930,28,1.6
8.28.2019,1,6,5_6,3,all,Sorghastrum nutans,Heatwave-3-6A,Heatwave,6A,A,205,14,210,1,75,4930,28,1.6
8.28.2019,1,6,5_6,3,all,Sorghastrum nutans,Heatwave-3-6B,Heatwave,6B,A,214,14,202,1,75,4930,28,1.6
8.28.2019,1,6,5_6,4,all,Sorghastrum nutans,Control-4-6A,Control,6A,A,240,14,230,1,66,6040,30,2.8
8.28.2019,1,6,5_6,4,all,Sorghastrum nutans,Control-4-6B,Control,6B,A,220,12,220,1,66,6040,30,2.8
8.28.2019,1,6,5_6,4,all,Sorghastrum nutans,Heatwave-4-6A,Heatwave,6A,A,260,9,265,1,66,6040,30,2.8
8.28.2019,1,6,5_6,4,all,Sorghastrum nutans,Heatwave-4-6B,Heatwave,6B,A,215,9,215,1,66,6040,30,2.8
8.28.2019,1,6,5_6,5,all,Sorghastrum nutans,Control-5-6A,Control,6A,A,220,11,221,1,66,8000,30,1.9
8.28.2019,1,6,5_6,5,all,Sorghastrum nutans,Control-5-6B,Control,6B,A,260,15,255,1,66,8000,30,1.9
8.28.2019,1,6,5_6,5,all,Sorghastrum nutans,Heatwave-5-6A,Heatwave,6A,A,210,6,210,1,66,8000,30,1.9
8.28.2019,1,6,5_6,5,all,Sorghastrum nutans,Heatwave-5-6B,Heatwave,6B,A,230,7,240,1,66,8000,30,1.9
8.28.2019,1,6,5_6,6,all,Sorghastrum nutans,Control-6-6A,Control,6A,A,259,15,259,1,66,6040,30,1.9
8.28.2019,1,6,5_6,6,all,Sorghastrum nutans,Control-6-6B,Control,6B,A,235,13,235,1,66,6040,30,1.9
8.28.2019,1,6,5_6,6,all,Sorghastrum nutans,Heatwave-6-6A,Heatwave,6A,A,250,13,240,1,66,6040,30,1.9
8.28.2019,1,6,5_6,6,all,Sorghastrum nutans,Heatwave-6-6B,Heatwave,6B,A,210,14,210,1,66,6040,30,1.9
8.29.2019,1,7,7_8,1,all,Sorghastrum nutans,Control-1-7A,Control,7A,A,250,8,250,1,59,6240,28,3.9
8.29.2019,1,7,7_8,1,all,Sorghastrum nutans,Control-1-7B,Control,7B,A,180,7,180,1,59,6240,28,3.9
8.29.2019,1,7,7_8,1,all,Sorghastrum nutans,Heatwave-1-7A,Heatwave,7A,A,250,11,250,1,59,6240,28,3.9
8.29.2019,1,7,7_8,1,all,Sorghastrum nutans,Heatwave-1-7B,Heatwave,7B,A,290,14,220,1,59,6240,28,3.9
8.29.2019,1,7,7_8,2,all,Sorghastrum nutans,Control-2-7A,Control,7A,A,270,5,265,1,59,6120,28,3.9
8.29.2019,1,7,7_8,2,all,Sorghastrum nutans,Control-2-7B,Control,7B,A,220,17,220,1,59,6120,28,3.9
8.29.2019,1,7,7_8,2,all,Sorghastrum nutans,Heatwave-2-7A,Heatwave,7A,A,210,8,270,1,59,6120,28,3.9
8.29.2019,1,7,7_8,2,all,Sorghastrum nutans,Heatwave-2-7B,Heatwave,7B,A,240,12,245,1,59,6120,28,3.9
8.29.2019,1,7,7_8,3,all,Sorghastrum nutans,Control-3-7A,Control,7A,A,265,5,260,1,59,5120,26,3.9
8.29.2019,1,7,7_8,3,all,Sorghastrum nutans,Control-3-7B,Control,7B,A,268,9,270,1,59,5120,26,3.9
8.29.2019,1,7,7_8,3,all,Sorghastrum nutans,Heatwave-3-7A,Heatwave,7A,A,250,10,246,1,59,5120,26,3.9
8.29.2019,1,7,7_8,3,all,Sorghastrum nutans,Heatwave-3-7B,Heatwave,7B,A,314,7,297,1,59,5120,26,3.9
8.29.2019,1,7,7_8,4,all,Sorghastrum nutans,Control-4-7A,Control,7A,A,200,5,195,1,59,6170,26,3.9
8.29.2019,1,7,7_8,4,all,Sorghastrum nutans,Control-4-7B,Control,7B,A,205,6,205,1,59,6170,26,3.9
8.29.2019,1,7,7_8,4,all,Sorghastrum nutans,Heatwave-4-7A,Heatwave,7A,A,230,10,230,1,59,6170,26,3.9
8.29.2019,1,7,7_8,4,all,Sorghastrum nutans,Heatwave-4-7B,Heatwave,7B,A,220,4,225,1,59,6170,26,3.9
8.29.2019,1,7,7_8,5,all,Sorghastrum nutans,Control-5-7A,Control,7A,A,238,17,213,1,59,5500,26,0.7
8.29.2019,1,7,7_8,5,all,Sorghastrum nutans,Control-5-7B,Control,7B,A,230,9,256,1,59,5500,26,0.7
8.29.2019,1,7,7_8,5,all,Sorghastrum nutans,Heatwave-5-7A,Heatwave,7A,A,210,12,207,1,59,5500,26,0.7
8.29.2019,1,7,7_8,5,all,Sorghastrum nutans,Heatwave-5-7B,Heatwave,7B,A,217,7,222,1,59,5500,26,0.7
8.29.2019,1,7,7_8,6,all,Sorghastrum nutans,Control-6-7A,Control,7A,A,240,12,236,1,64,5900,26,0.7
8.29.2019,1,7,7_8,6,all,Sorghastrum nutans,Control-6-7B,Control,7B,A,242,8,240,1,64,5900,26,0.7
8.29.2019,1,7,7_8,6,all,Sorghastrum nutans,Heatwave-6-7A,Heatwave,7A,A,228,9,223,1,64,5900,26,0.7
8.29.2019,1,7,7_8,6,all,Sorghastrum nutans,Heatwave-6-7B,Heatwave,7B,A,182,7,186,1,64,5900,26,0.7
8.29.2019,1,8,7_8,1,all,Sorghastrum nutans,Control-1-8A,Control,8A,A,233,5,235,1,69,8890,29.9,0.9
8.29.2019,1,8,7_8,1,all,Sorghastrum nutans,Control-1-8B,Control,8B,A,281,9,274,1,69,8890,29.9,0.9
8.29.2019,1,8,7_8,1,all,Sorghastrum nutans,Heatwave-1-8A,Heatwave,8A,A,250,9,230,1,69,8890,29.9,0.9
8.29.2019,1,8,7_8,1,all,Sorghastrum nutans,Heatwave-1-8B,Heatwave,8B,A,260,11,240,1,69,8890,29.9,0.9
8.29.2019,1,8,7_8,2,all,Sorghastrum nutans,Control-2-8A,Control,8A,A,205,6,216,1,52,1015,30.7,1.4
8.29.2019,1,8,7_8,2,all,Sorghastrum nutans,Control-2-8B,Control,8B,A,205,4,205,1,52,1015,30.7,1.4
8.29.2019,1,8,7_8,2,all,Sorghastrum nutans,Heatwave-2-8A,Heatwave,8A,A,220,20,221,1,52,1015,30.7,1.4
8.29.2019,1,8,7_8,2,all,Sorghastrum nutans,Heatwave-2-8B,Heatwave,8B,A,248,13,237,1,52,1015,30.7,1.4
8.29.2019,1,8,7_8,3,all,Sorghastrum nutans,Control-3-8A,Control,8A,A,233,11,235,1,69,1043,28,2.8
8.29.2019,1,8,7_8,3,all,Sorghastrum nutans,Control-3-8B,Control,8B,A,220,6,231,1,69,1043,28,2.8
8.29.2019,1,8,7_8,3,all,Sorghastrum nutans,Heatwave-3-8A,Heatwave,8A,A,265,6,295,1,69,1043,28,2.8
8.29.2019,1,8,7_8,3,all,Sorghastrum nutans,Heatwave-3-8B,Heatwave,8B,A,300,11,260,1,69,1043,28,2.8
8.29.2019,1,8,7_8,4,all,Sorghastrum nutans,Control-4-8A,Control,8A,A,200,11,195,1,69,8570,28,1
8.29.2019,1,8,7_8,4,all,Sorghastrum nutans,Control-4-8B,Control,8B,A,225,11,220,1,69,8570,28,1
8.29.2019,1,8,7_8,4,all,Sorghastrum nutans,Heatwave-4-8A,Heatwave,8A,A,215,12,215,1,69,8570,28,1
8.29.2019,1,8,7_8,4,all,Sorghastrum nutans,Heatwave-4-8B,Heatwave,8B,A,225,15,220,1,69,8570,28,1
8.29.2019,1,8,7_8,5,all,Sorghastrum nutans,Control-5-8A,Control,8A,A,230,11,230,1,69,12500,28,2.4
8.29.2019,1,8,7_8,5,all,Sorghastrum nutans,Control-5-8B,Control,8B,A,259,8,234,1,69,12500,28,2.4
8.29.2019,1,8,7_8,5,all,Sorghastrum nutans,Heatwave-5-8A,Heatwave,8A,A,185,11,170,1,69,12500,28,2.4
8.29.2019,1,8,7_8,5,all,Sorghastrum nutans,Heatwave-5-8B,Heatwave,8B,A,245,8,245,1,69,12500,28,2.4
8.29.2019,1,8,7_8,6,all,Sorghastrum nutans,Control-6-8A,Control,8A,A,274,8,252,1,69,7800,28,0
8.29.2019,1,8,7_8,6,all,Sorghastrum nutans,Control-6-8B,Control,8B,A,190,12,188,1,69,7800,28,0
8.29.2019,1,8,7_8,6,all,Sorghastrum nutans,Heatwave-6-8A,Heatwave,8A,A,170,8,160,1,69,7800,28,0
8.29.2019,1,8,7_8,6,all,Sorghastrum nutans,Heatwave-6-8B,Heatwave,8B,A,265,8,265,1,69,7800,28,0
9.3.2019,2,2,1_2,4,"AH, DG",Sorghastrum nutans,Control-4-1A,Control,1A,A,296,6,283,1,51,4920,29.7,4.8
9.3.2019,2,2,1_2,4,"AH, DG",Sorghastrum nutans,Control-4-1B,Control,1B,A,36,7,342,1,51,4920,29.7,4.8
9.3.2019,2,2,1_2,4,"AH, DG",Sorghastrum nutans,Control-4-2A,Control,2A,A,275,3,273,1,51,4920,29.7,4.8
9.3.2019,2,2,1_2,4,"AH, DG",Sorghastrum nutans,Control-4-2B,Control,2B,A,242,4,235,1,51,4920,29.7,4.8
9.3.2019,2,2,1_2,4,"AH, DG",Sorghastrum nutans,Heatwave-4-1A,Heatwave,1A,A,302,7,302,1,51,5550,29.7,1.9
9.3.2019,2,2,1_2,4,"AH, DG",Sorghastrum nutans,Heatwave-4-1B,Heatwave,1B,A,236,3,236,1,51,5550,29.7,1.9
9.3.2019,2,2,1_2,4,"AH, DG",Sorghastrum nutans,Heatwave-4-2A,Heatwave,2A,A,346,3,340,1,51,5550,29.7,1.9
9.3.2019,2,2,1_2,4,"AH, DG",Sorghastrum nutans,Heatwave-4-2B,Heatwave,2B,A,245,5,240,1,51,5550,29.7,1.9
9.3.2019,2,2,1_2,5,"JL, LRJ",Sorghastrum nutans,Control-5-1A,Control,1A,A,311,11,311,1,51,5950,29.5,1.1
9.3.2019,2,2,1_2,5,"JL, LRJ",Sorghastrum nutans,Control-5-1B,Control,1B,A,364,6,364,1,51,5950,29.5,1.1
